id,item_name,category,purchase_unit,standard_price_per_kg,price_per_g,yield_rate,practical_price_1_2x,practical_price_1_5x,memo
F001,アジ,魚（青魚）,kg,800.000,0.800,0.60,960.000,1200.000,業務用平均価格 / 季節変動が大きい / 市場価格依存 / 丸魚
F002,イワシ,魚（青魚）,kg,600.000,0.600,0.50,720.000,900.000,業務用平均価格 / 季節変動が大きい / 市場価格依存 / 丸魚
F003,サバ,魚（青魚）,kg,700.000,0.700,0.60,840.000,1050.000,業務用平均価格 / 季節変動が大きい / 市場価格依存 / 丸魚〜三枚おろし
F004,タイ,魚（白身）,kg,2000.000,2.000,0.65,2400.000,3000.000,業務用平均価格 / 季節変動が大きい / 市場価格依存 / 三枚おろし
F005,ヒラメ,魚（白身）,kg,2500.000,2.500,0.65,3000.000,3750.000,業務用平均価格 / 季節変動が大きい / 市場価格依存 / 三枚おろし
F006,カレイ,魚（白身）,kg,1500.000,1.500,0.65,1800.000,2250.000,業務用平均価格 / 季節変動が大きい / 市場価格依存 / 三枚おろし
F007,マグロ(赤身),高級魚,kg,2500.000,2.500,0.85,3000.000,3750.000,業務用平均価格 / 季節変動が大きい / 市場価格依存 / ブロック切り身
F008,サーモン,高級魚,kg,2000.000,2.000,0.85,2400.000,3000.000,業務用平均価格 / 季節変動が大きい / 市場価格依存 / フィレ
F009,ブリ,高級魚,kg,1800.000,1.800,0.65,2160.000,2700.000,業務用平均価格 / 季節変動が大きい / 市場価格依存 / 三枚おろし
F010,うなぎ,高級魚,kg,4000.000,4.000,0.60,4800.000,6000.000,業務用平均価格 / 季節変動が大きい / 市場価格依存 / 活鰻想定・裂き処理
F011,あさり,貝類,kg,800.000,0.800,0.30,960.000,1200.000,業務用平均価格 / 季節変動が大きい / 市場価格依存 / 殻付き
F012,しじみ,貝類,kg,700.000,0.700,0.30,840.000,1050.000,業務用平均価格 / 季節変動が大きい / 市場価格依存 / 殻付き
F013,ホタテ,貝類,kg,2000.000,2.000,0.50,2400.000,3000.000,業務用平均価格 / 季節変動が大きい / 市場価格依存 / 殻付き想定
F014,エビ,甲殻類,kg,1800.000,1.800,0.55,2160.000,2700.000,業務用平均価格 / 季節変動が大きい / 市場価格依存 / 殻付き
F015,ブラックタイガー,甲殻類,kg,2000.000,2.000,0.55,2400.000,3000.000,業務用平均価格 / 季節変動が大きい / 市場価格依存 / 殻付き
F016,カニ,甲殻類,kg,4000.000,4.000,0.40,4800.000,6000.000,業務用平均価格 / 季節変動が大きい / 市場価格依存 / 殻付き丸ごと
F017,イカ,その他,kg,1200.000,1.200,0.80,1440.000,1800.000,業務用平均価格 / 季節変動が大きい / 市場価格依存 / 内臓処理後
F018,タコ,その他,kg,1800.000,1.800,0.80,2160.000,2700.000,業務用平均価格 / 季節変動が大きい / 市場価格依存 / 下処理後
F019,ちくわ,加工品,kg,800.000,0.800,1.00,960.000,1200.000,業務用平均価格 / 加工品は全量可食
F020,かまぼこ,加工品,kg,1000.000,1.000,1.00,1200.000,1500.000,業務用平均価格 / 加工品は全量可食
